日時,項目,内容,補足
2026-08-08 04:00 JST,方針転換・閾値ではなく道を書く,"担当者から『3択選択肢の中で行動をシュミレーションするんじゃなくて、一本道を作成するのが君のミッション。閾値とか、発火とか考えてる時点で視点が間違ってる』との指摘。その通りで、これまでは発動条件を積んでシミュレータが偶然そこを通るのを期待していた。Day2の初任給場面が通し再生で一度も発火しなかったのは、その区間の道がまだ書かれていなかったからである。docs/trpg/one-road-virtue.md を新設し、Day1から手作業で時刻表として書き下ろす方式に切り替えた。実装済み場面はこの道の上に置く石として扱う。",commit bc0c27c / docs/trpg/one-road-virtue.md
2026-08-08 04:00 JST,空腹で倒れた時の扱いを決定,"『空腹で倒れたのに同じ場面に戻るのがおかしい。教会とかで目覚める方が自然では』との指摘に対する回答。倒れた場所ごとに拾う者・目覚める場所・経過時間・残るものを表で固定した。田園の村の広場/井戸ならエダ(NPC004)がエダの家へ3時間、村外れならジル(NPC060)が見張り小屋へ4時間、交易都市の港湾区ならマウラ(NPC073)が潮風宿の土間へ4時間、王都下層ならミラン(NPC064)が安宿の物置へ5時間かつ所持金が半分、街道ならば通りすがりの行商が最寄り拠点の門前へ6時間かつ荷を一つ失う。いずれも元の場面へは戻さず、目覚めた先に別の三択を置く。エダの主GOAPが正本で『プレイヤーを一時保護する』なので、村での被救助はそのまま正本準拠になる。",one-road-virtue.md 冒頭「倒れた時の扱い」
2026-08-08 04:00 JST,Day1〜Day8を執筆,"各行に空腹・疲労・所持金を列として持たせた。Day3は正本のタイムラインに事件が一つも無い日だが、後の四日ぶんの材料(穀倉の在庫実数・届かない獣除け香8G・王都への道順・約束で確保した寝床)を全部そこに置いた。八日間の総収入16Gに対し革鎧は80Gなので、Day8の狼戦は借りた手斧一本・防具なしになる。これは難易度設定ではなく、Day4に瓦版を1Gで買いDay8朝に見張りへ黒パン五つ5Gを配った結果として書いてある。Day6でT02夜明けの『人を先に数える』を取ったため、油筋の写し取り(放火の物証)はこの世界線から永久に消えた。",commit 65a6c9e
2026-08-08 04:00 JST,焼ける前の焼け跡を修正,"道を書いていて発見。authored-mission-flow-t02-granary-dawn の DAWN_OPEN_MINUTE が Day5 00:00 だったが、正本の放火は Day5『夜』である。Day5の朝にまだ煙を上げている穀倉に立って生存者を数えろと言われる窓が空いていた。Day5 22:00 開始に修正し、場面がDay6の夜明けであることをコメントで明示。放火前に焼け跡が存在しないことを固定する回帰テストを追加。737件全成功。",commit 部分 / DAWN_OPEN_MINUTE = 4*1440+22*60
2026-08-08 04:00 JST,Day9で実際に倒す,"倒れた時の扱いを表で終わらせず、道の上で一度実行した。所持金1Gしかないので日当4Gの重い方(梁を運ぶ)を選び、三本目でDay8の腕の傷が開いて井戸で落ちる。エダに拾われ3時間後に彼女の家で目覚め、払えない薬草包み6Gが使われた後の別の三択が出る。差し引き2Gの損。Day10とDay11は収入ゼロで固定した。腕の傷が二日間の無収入として効かなければ、Day9の負傷が嘘になる。",commit 48e7c2b
2026-08-08 04:00 JST,Day14・獣除け香8Gに届いて買わない,"Day3の井戸端で届かなかった獣除け香8Gに、十一日目でようやく手が届く。そして買わずに止血草4Gを買って港へ発つ。行き先が森ではなく港町だからである。欲しかった物と要る物は違う、という一行のためにDay3を書いた。この種の『十日以上あとで回収する伏線』を道の側に先に置いておく。",one-road-virtue.md Day14
2026-08-08 04:00 JST,Day15〜Day18・買えない物を借りで通す,"村に要るのは食料ではなく証文で、商人ギルド会館の契約書作成は25G(ITM104)、所持金9G。買えないまま、グレン(NPC013 港湾労働者代表)の口利きで倉庫街の積荷記録を無料で見る。8月2日付でバーゼル(NPC007)が田園の村産の麦を王都の製粉業者へ先渡ししていた記録が出る。放火は三日後のDay5夜なので、これは放火の証拠にはならないが『困った村を助ける』という融通の顔は剥がれる。Day18の村会合で署名は止まるが、T02は解決しない。25Gが無く、放火の物証はDay6の選択で永久に失っているからである。期限の日に勝ち切らせない書き方を採った。",commit d4b8913
2026-08-08 04:00 JST,村の食料計算を修正,"Day6で『焼け残りは十日ぶん』と書いたので、食料はDay16に尽きる。Day18の記述で『残り四日ぶん』としていたのは誤り。Day18時点では二日前に尽きており、村人は来年の種麦を食べている、に修正した。ガロ村長が判を押しかけた理由がこれで通る。あわせてDay13でバーゼルに求める猶予を四日から五日に修正(Day13+5=Day18で正本の初期解決期限と一致)。",commit 0af5c46 に同梱
2026-08-08 04:00 JST,Day19〜Day22・麦を取り戻さずに飢えを止める,"T03の解決期限Day20と食料枯渇が重なる区間。T03は羊の囲いを村の内側へ移す(村総出・八時間・日当なし)で被害ゼロにする。狼を殺さないので原因(T13)には触れないままで、道には『T03解決』ではなく『Day20の被害はゼロだった』と書いた。食料は魚で解く。正本の魚市場は魚類が安く内陸で高く売れるので、安い=港では余っているという読み替えを、港に四日通った主人公だけができる。荷車8Gは村馬小屋の信頼で無料(正本備考『信頼があれば安く借りられる』)、魚箱二つはグレンが額を決めずに渡す、唯一の支出は塩袋3G。帰路の王都で一箱30〜40Gで売れるのを売らず、値も聞かない。人徳ルート最大の『選ばなかった』をここに置いた。",commit 0af5c46
2026-08-08 04:00 JST,Day24・自分の解決が次の問題の材料になる,"正本Day24のT06港湾暴動兆候。村は今や魚で食っており、その魚は港から来る。そして暴動側の代表が村へ魚を回したグレンである。Day17に主人公はグレンの長屋で賃金の話を聞きながら寝ている(七日前)。同じ場面の再演ではなく、プレイヤーが作った依存関係と、前から別々に進んでいた港の事情が、この日ぶつかっただけである。これがループでない繰り返しの書き方になる。Day25のT07捕縛は森で起きるので主人公は知らないまま過ぎる。知らせてしまえば行かないことが罪になるため、教えない。",commit 0af5c46 / Day24-25
