日時,項目,内容,補足
2026-08-07 10:30 JST,引き継ぎシート同期の稼働確認,"PR #297 がマージされ trpg-handover-sync.yml が main へ入ったため、workflow_dispatch が使えるようになった。main で dry-run を実行して候補14行を確認後、HANDOVER_DRY_RUN を false へ切り替えて実反映した。再実行のログに『シート「開発引き継ぎ」の既存行数: 381』『すべて既に反映済みでした。書き込みは行いません』と出ており、実シート相手に書き込みと冪等性の両方を確認できた。以後この工程は担当者からもClaudeからも dispatch 一回で回せる。",run 31137942953 反映 / 31138051894 冪等確認
2026-08-07 10:30 JST,日常の水兆候をT13早期発見へ接続,"日常生活層が配っていた三つの兆候（井戸内壁の水位跡・水車小屋裏の止まった小川・雨の年なのに硬い麦粒）が行き止まりだった。二つ以上を持ち、井戸か麦畑に居る時だけ開く『水がどこへ行ったのかを追う』を追加。小川を遡る（村外れで川床が途切れ上流での吸い上げを示す）、井戸を掘り下げる相談（ネネ婆が同じ順序で起きた昔の年と接続）、ジルに森の水場を聞く（七つあった水場が四つ、消えた三つは大河中流寄り）の三択。一つの兆候では開かないので偶然では始まらない。",commit 5f84a14 / authored-mission-flow-village-water-trail.js
2026-08-07 10:30 JST,水の道筋の設計上の境界,"この層はT13を解決しない。正史の手書きフロー forest-king-slime-world-tree-collapse に openingChoiceId か evidenceIds が既にあれば発動せず、導線はそちらへ譲る。行うのは早期の手掛かり記録と worldFlags.t13FoundBeforeRumor の保存まで。正本でT13はDay1発生・勝ち筋は早期発見であり、噂を待たずに水へ辿り着く経路を生活行動だけで用意した形になる。事件の会話を一度もしないプレイヤーがT13の糸口を掴めることをテストで固定した。",全19件解決には未到達 / 早期導線のみ
2026-08-07 10:30 JST,検証状況,"npm run trpg:test は 708件全成功、失敗0。新規テスト authored-village-water-trail.test.mjs 10件。日常層の井戸端と麦畑を実際に選んで兆候を2つ揃え、そこから水の道筋が開くところまでを通しで検証している。既存テストの削除・skip・期待値弱体化なし。有料Gemini API 0回。",708/708 PASS
2026-08-07 10:30 JST,次作業,"T04〜T19の接続区間が依然として最大の欠落。エンジン側（証拠分類・18経路・3解決・後日談）は全19件実装済みだが、事件がプレイヤーの前に現れる場面と、解決結果が次の事件の入口を変える橋渡しがT04以降ほとんど無い。これがDay1からの通し再生が成立しない直接の原因。次は王都・交易都市・森の日常層と、T04以降の橋渡しを同じ方式で積む。",最大の欠落: T04〜T19の接続区間
2026-08-07 12:00 JST,制作方針の確定・一本道優先,"ユーザー確認により、人徳ルートの一本道を先に通し、その後で枝分かれを拡げる進め方を正式方針とする。8/3の『先に縦ルートを完成させる』と同じ考え方であり、一区間ずつ確実に繋ぐことを優先する。区間が繋がっていない状態で横に広げない。手掛かりを出しておいて受け手が無い『行き止まり』を作らないことを、この方針の具体的な判定基準とする。",ユーザー承認・以後の制作順序
2026-08-07 12:00 JST,T05橋渡しの引き渡しを実装,"T02→T05橋渡しが三つの扉で手掛かりを出しながら、正史T05へ渡していなかった。マリエルの枕元で食後半刻の所見を直接聞いた扉だけ、正史の聞き取り工程そのものとして MSN-T05.progress.hear を1にし、T05-FACT-NONNATURAL-POISON と bedside_symptoms / antidote_formula を登録する。倉庫街の仕入れ帳は warehouse_manifest のみ、港薬草商は antidote_formula と crime_ledger のみを解禁し、マリエルに会っていない二つの扉では聞き取りを残す。見ていないものを増やさず、見たものを正史側の名前で登録し直すだけの契約。既存の unlockedLeadIds / knownFactIds は置換せず併合する。",commit 916c9c4 / 713件全成功
2026-08-07 12:00 JST,一本道の現在の到達点,"Day1 T01救出→広場後始末→夕食→夜（既存）、Day2 行商人・猟師（既存）、Day5 T02夜明け4場面12択、Day6以降 水の道筋（兆候2つでT13早期発見）、Day8 T03牧場の夜4場面12択、Day12 T04巡礼便（既存）、Day16 T02の決着方法で入口が変わるT05橋渡し→正史調査へ引き渡し。ここまでは繋がっている。次の切れ目はT05の解決からT07（Day18 リュシア家出）への接続。",次の切れ目: T05解決→T07
2026-08-07 13:30 JST,T05→T07橋渡しを実装,"一本道の次の切れ目だったT05解決からT07への接続を交易都市の港側に置いた。T05の三解決で気づく角度が変わる。ニコラスと妹を匿った経験は人を隠して運ぶ相場を教え、モズの原本台帳には中身の書かれていない行が同じ運び手の名で並び、王都へ送る便には空欄の後見状が混じる。三択はセレス船長に積荷を聞く（断った仕事の積み替え桟橋→crime_dock_manifest）、税関の通行記録（同じ筆跡の後見状三通、年齢欄だけ墨が新しい→damian_false_contract）、王都行きの早馬（裏から入れる部屋の注文→capital_inn_order）。",commit 4839438 / authored-mission-flow-t05-to-t07-bridge.js
2026-08-07 13:30 JST,T07橋渡しの境界,"どの選択も正史の聞き取りを完了させない。セリエに会っていない以上、リュシアが誰かを聞いた訳ではなく、荷の側を見ただけだからである。knownFactIds は空のまま、unlockedLeadIds に見た分だけを追加し、既存の手掛かりとは併合する。森の野営地で正史フローが始まっていれば発動しない。リュシアが sold/dead 相当なら発動しない。Day20〜Day37の窓は正本のDay25捕縛・Day31王都下層を跨ぐ。",聞き取り非完了を回帰で固定
2026-08-07 13:30 JST,一本道の到達点更新,"Day1 T01→Day2生活→Day5 T02夜明け→Day6以降 水の道筋→Day8 T03牧場の夜→Day12 T04巡礼便→Day16 T05橋渡し→正史調査引き渡し→Day20以降 T07橋渡し→正史手掛かり引き渡し。ここまで切れ目なし。次の切れ目はT07の解決からT08森の封鎖令（Day30発生）またはT14犯罪都市の武器密輸（Day15発生・T05のモズ線と接続済み）への接続。",次の切れ目: T07→T08 / T14
2026-08-07 13:30 JST,検証状況,"npm run trpg:test は 724件全成功、失敗0。新規テスト authored-t05-to-t07-bridge.test.mjs 11件。既存テストの削除・skip・期待値弱体化なし。有料Gemini API 0回。",724/724 PASS
2026-08-07 15:00 JST,報告の誤りを訂正・通し再生は失敗が継続中,"これまで『CI success』と報告していたのは trpg-player-simulation.yml の simulate ジョブ（テストスイート＋統合プレイヤー）であり、Day1〜Day100の通し再生は別の trpg-day100-player.yml にある。PR #297 のチェックを確認したところ companion-route と route-matrix の4方針（chain/deadline/prevention/regional）は全て failure、regression と simulate と sync のみ success だった。片方だけを見て成功と報告していたのは不正確。通し再生の失敗は8/2以降の引き継ぎに記録がある長期課題であり今回の追加が原因ではないが、根本問題は一歩も解消していない。",PR #297 checks / 5ジョブ failure
