日時,項目,内容,補足
2026-08-09 13:00 JST,誤診の訂正・村長宅は空ではなかった,"前回『正本のdebt_contract手掛かりが村長宅を指しているのに実装側の中身は穀倉にしか無い』と報告し、村長宅へ手書きの場面を置く実装を書いた。これは誤りだったので破棄した。判定に使った検査用ランタイムに playerState.progress.missions.attemptedTroubleIds が無く、playerKnowsTrouble() が false を返してT02のパック自体が availablePacks() から落ちていた。空だったのは村長宅ではなく検査の作りである。正しい状態を与えると鎖は村長宅で MISSION_FLOW:granary-arson:EVIDENCE:debt_contract を含む三択を返す。書いた実装をそのまま繋いでいたら、正本側の evidence 経路（discoveryText・revealLeadIds・syncInvestigationProgress）を覆い隠していた。合成状態での探りではなく実走ログを読むこと。",authored-t02-chief-debt-contract.js は作成後に削除
2026-08-09 13:10 JST,重複選択肢集合617回の正体,"重複の中身を実走トレースで数えたところ、4294手のうち0択が724回、1択が1836回、2択が193回。1択の1598回は『安全そうな場所を探し、短く休息する』のみ。プレイヤーは休む以外に何も選べず、同じ画面が夜ごとに戻る。これが担当者の言う『ループ』の実体で、重複集合カウンタはその影を数えていた。1択・0択の画面が出ている限り、道をいくら書いても歩けない。",tools/trpg-sim/reports/day100-route-chain-latest-trace.jsonl の集計
2026-08-09 13:20 JST,原因1・revisit層が空配列を返していた,"authored-mission-flow-revisit.js の buildRevisitActions が、進行系の選択肢が一つも無く差し替え先の焦点も残っていない時に [] を返していた。service.js:1599 の `if (authoredFlowExclusive) return authoredFlowExclusive;` は空配列を真値として『排他的な選択肢はこれで確定』と読むため、選択肢ゼロの画面になる。66段の装飾鎖を実行時状態に対して先頭から順に呼び、最初に空配列を返す段を特定して確定した（150手で463回発火）。書き換える材料が無い時は、渡された元の三択をそのまま返すよう修正。7月に authored-mission-flow-revisit-canonical.js で直したのと同型の誤りで、同じ形が他にも残っている可能性がある。","commit 3c20b96 / 回帰テスト『a revisit with nothing forward to offer hands back the original three, never an empty screen』"
2026-08-09 13:25 JST,原因2・働き口の画面が一択になっていた,"authored-facility-labour.js が、その刻に開いている働き口が一つしかない施設で一択の画面を出していた。一択は選ばせていないのと同じである。開いていない口を『——3時間ほど待って、次の刻の口に入る』『——明朝の口に、今から名前を入れておく』の形で並べ、待ち時間を作業時間に足して三択を保つ方式へ変更した。賃金と消耗はその働き口のまま変えない。待つこと自体が選択だからである。",commit 3c20b96
2026-08-09 13:30 JST,働き口を三つに満たない八施設へ追加,"上の規則が成り立つには、表に載る施設がどこも働き口を三つ以上持つ必要がある。村のパン屋（焼き上がりを家々へ配る2G）、村の井戸（井戸縄を綯い直す2G）、村馬小屋（馬具の革を繕う2G）、潮風宿（客席を回る3G）、倉庫街（崩れた山を積み直す5G／鼠の食害を見て回る2G）、下層の安宿（床を磨く1G／水を汲んで運ぶ2G）、王都駅馬車場（馬に水をやる1G）、瓦版屋通り（紙を裁つ2G）を追加し、docs/trpg/labour-catalogue.md の拠点別表と揃えた。カタログには『三つの約束』に続けて第四の約束『働き口の画面も三択であること』を追記した。",docs/trpg/labour-catalogue.md
2026-08-09 13:40 JST,計測結果,"chain・150手の窓で、3択未満の画面が1709回から0回になった。テストは762から766へ増えて全て緑。追加したのは、revisit層が空画面を返したら落ちる回帰テストと、働き口を持つ全施設が三択を埋められることを確かめるテストと、待ち時間が刻限から正しく算出されることを確かめるテスト。service.js へ入れた一時的な計測コードはバックアップから復元して差分から除去済み。差分の全ファイルに対しキリル・ギリシャ等の混入走査を実施し、混入なし。",commit 3c20b96
2026-08-09 18:00 JST,方針の是正・シミュレータから道へ戻る,"担当者から『現在の作業が一本道の作成というより複雑なシミュレーションのバグ取りに終始している。選択肢0個のケースを考慮したりアサーションを書き換えたりするのはオーバーエンジニアリング』との指摘。その通りで、空画面の修正までは道を歩ける前提として必要だったが、働き口を九施設へ増やしたこととT03のアサーション書き換えは道の作成から外れた寄り道だった。以降はone-road-virtue.mdの執筆のみに絞った。",docs/trpg/one-road-virtue.md
2026-08-09 18:30 JST,重大な訂正・全解決不能は誤りだった,"道の巻末は『十九件の全解決には届かない、期限と距離が物理的に衝突している、正本の設定を三箇所変えてほしい』と結論し、その判断待ちで止まっていた。三つとも成立しない。原因は二つ。(1)正本の期限列は『発生/兆候』『主要期限』『最終悪化』の三つあるのに主要期限だけを締切として扱っていた。T09はDay32とDay45、T17はDay41とDay63で最大三十日以上離れている。(2)距離を確かめずに『間に合わない』と書いていた。正本の距離一覧では王都↔田園の村1時間、王都↔交易都市2時間、最遠の辺境の村↔魔王領でも15.5時間。距離を理由に落とせる組み合わせはほぼ無い。正本の設定変更は不要で、三つの提案は取り下げた。",commit 31a753e
2026-08-09 19:00 JST,設計上の発見・神殿と王都下層が直接繋がっている,"以前『T17を止めるには宮廷魔術塔と王城への到達が要るが身分の無い主人公に経路が無い』と書いていたのは正本の読み違いだった。T17の解決方法の筆頭は『阻止派と接触する』で、その中心人物ライラ(NPC018)の居住拠点も初期現在地も王都下層である。さらにルカ元研究員(NPC056)は『古代神殿の元研究員』で王都下層におり関連トラブルはT04・T17・T18。Day33〜34に神殿でT04を解くと転移装置を作った側の人間の名前が出て、その男がDay39に下層にいる。上層への階段は要らなかった。",one-road-virtue.md Day34・Day41
2026-08-09 20:00 JST,一本道が全解決まで通った,"Day32〜34(古代神殿・T04)、Day39〜41(王都・T17阻止)、Day42〜45(ドワーフ洞窟・T09救出)、Day46〜47(人手集め)、Day50〜51(孤児院・T10)、Day61〜68(T12)、Day69〜75(T14)、Day76〜80(T16)を執筆。枝Aは解決16件・起こさせなかった3件(T15はT05/T06を守ったため、T18とT19はT13を守ったため)・失敗0件。うちT09・T12・T14の三件は最終悪化の当日に決着しており余裕は無い。枝Bも旧稿の『片方しか止められない』を撤回した。T09を救ってあるのでT18の解決手段『ドワーフ技師の協力』が手元にあり、巨神兵が止まるので侵攻も止まる。枝Bは17件解決・T12とT13の2件失敗。",commit 490e1ec
